,,,,,,,,,,,,,,,,,,Minimum Burns from LEO (no Venus flyby),,
Site Name,Size,"Spectral
Type",Hydration,Group,"Buggy
Group","Raygun
Group",Synodic,Push,Astrobiology,Submarine,Atmospheric,"Space
Elevator",Centaur,"Takeoff
Thrust","Solar
Zone","Solar
Modifier","Sol Clock
Position","
Burns",Aerobrakes,Crashes
Mercury North Pole,10,V,3,Mercury,TRUE,TRUE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,11,Mercury,2,6:15,6,,
Mercury Discovery Rupes,10,S,0,Mercury,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,11,Mercury,2,8:00,6,,
Venus Aerostat-Xity,11,C,0,,FALSE,FALSE,,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,Atmospheric,Venus,1,7:00,4,1,1
Hathor,1,S,1,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Venus,1,8:30,5,,1
Luna Aristarchus Plateau,9,H,0,Luna,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,10,Earth,0,2:45,3,,
Luna Shackleton Polar Rim,9,S,1,Luna,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,Earth,0,2:45,3,,
Cruithne,1,M,1,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,4:30,5,,
Itokawa,1,S,0,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,7:30,2,,1
Comet Phaethon,1,H,4,,FALSE,FALSE,Yellow,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,8:30,6,,1
Khufu,1,S,2,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,8:45,4,,
Bennu,1,C,2,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,9:15,3,,1
Mjolnir,1,S,1,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,9:30,3,,
Icarus,1,S,4,,FALSE,FALSE,Red,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,10:00,7,,1
Apophis,1,S,0,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,11:30,3,,
YORP,1,S,0,,FALSE,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Earth,0,12:30,2,,1
Didymos,1,S,0,Didymos,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,Mars,-1,12:00,2,,
